ID Year,Year,Household Income by Race,Household Income by Race Moe,Geography,ID Geography,Slug Geography
2019,"2019",62843,135,"United States","01000US","united-states"
2019,"2019",58945,266,"Arizona","04000US04","arizona"
2019,"2019",43524,2214,"Gila County, AZ","05000US04007","gila-county-az"
2019,"2019",34643,4945,"La Paz County, AZ","05000US04012","la-paz-county-az"
2019,"2019",64468,326,"Maricopa County, AZ","05000US04013","maricopa-county-az"
2019,"2019",53379,628,"Pima County, AZ","05000US04019","pima-county-az"
2019,"2019",58174,930,"Pinal County, AZ","05000US04021","pinal-county-az"
2019,"2019",52451,1376,"Yavapai County, AZ","05000US04025","yavapai-county-az"
2019,"2019",45243,1279,"Yuma County, AZ","05000US04027","yuma-county-az"
2019,"2019",63883,287,"Phoenix-Mesa-Scottsdale, AZ","31000US38060","phoenix-mesa-scottsdale-az"
2018,"2018",60293,140,"United States","01000US","united-states"
2018,"2018",56213,275,"Arizona","04000US04","arizona"
2018,"2018",42092,1810,"Gila County, AZ","05000US04007","gila-county-az"
2018,"2018",33333,5547,"La Paz County, AZ","05000US04012","la-paz-county-az"
2018,"2018",61606,305,"Maricopa County, AZ","05000US04013","maricopa-county-az"
2018,"2018",51037,501.99999999999994,"Pima County, AZ","05000US04019","pima-county-az"
2018,"2018",55550,944,"Pinal County, AZ","05000US04021","pinal-county-az"
2018,"2018",50180,1188,"Yavapai County, AZ","05000US04025","yavapai-county-az"
2018,"2018",44058,1027,"Yuma County, AZ","05000US04027","yuma-county-az"
2018,"2018",60996,294,"Phoenix-Mesa-Scottsdale, AZ","31000US38060","phoenix-mesa-scottsdale-az"
2017,"2017",57652,138,"United States","01000US","united-states"
2017,"2017",53510,259,"Arizona","04000US04","arizona"
2017,"2017",41179,1678,"Gila County, AZ","05000US04007","gila-county-az"
2017,"2017",36479,4789,"La Paz County, AZ","05000US04012","la-paz-county-az"
2017,"2017",58580,350,"Maricopa County, AZ","05000US04013","maricopa-county-az"
2017,"2017",48676,534,"Pima County, AZ","05000US04019","pima-county-az"
2017,"2017",52628,891,"Pinal County, AZ","05000US04021","pinal-county-az"
2017,"2017",48259,1287,"Yavapai County, AZ","05000US04025","yavapai-county-az"
2017,"2017",43253,1376,"Yuma County, AZ","05000US04027","yuma-county-az"
2017,"2017",57935,332,"Phoenix-Mesa-Scottsdale, AZ","31000US38060","phoenix-mesa-scottsdale-az"
2016,"2016",55322,120.00000000000001,"United States","01000US","united-states"
2016,"2016",51340,231,"Arizona","04000US04","arizona"
2016,"2016",40593,1420,"Gila County, AZ","05000US04007","gila-county-az"
2016,"2016",36321,3103,"La Paz County, AZ","05000US04012","la-paz-county-az"
2016,"2016",55676,332,"Maricopa County, AZ","05000US04013","maricopa-county-az"
2016,"2016",46764,511.00000000000006,"Pima County, AZ","05000US04019","pima-county-az"
2016,"2016",51190,931.0000000000001,"Pinal County, AZ","05000US04021","pinal-county-az"
2016,"2016",46638,1145,"Yavapai County, AZ","05000US04025","yavapai-county-az"
2016,"2016",41467,1093,"Yuma County, AZ","05000US04027","yuma-county-az"
2016,"2016",55227,324,"Phoenix-Mesa-Scottsdale, AZ","31000US38060","phoenix-mesa-scottsdale-az"
2015,"2015",53889,109.99999999999999,"United States","01000US","united-states"
2015,"2015",50255,211,"Arizona","04000US04","arizona"
2015,"2015",39751,1776,"Gila County, AZ","05000US04007","gila-county-az"
2015,"2015",34466,4358,"La Paz County, AZ","05000US04012","la-paz-county-az"
2015,"2015",54229,365,"Maricopa County, AZ","05000US04013","maricopa-county-az"
2015,"2015",46162,620,"Pima County, AZ","05000US04019","pima-county-az"
2015,"2015",49477,1077,"Pinal County, AZ","05000US04021","pinal-county-az"
2015,"2015",44748,1150,"Yavapai County, AZ","05000US04025","yavapai-county-az"
2015,"2015",40743,1111,"Yuma County, AZ","05000US04027","yuma-county-az"
2015,"2015",53723,315,"Phoenix-Mesa-Scottsdale, AZ","31000US38060","phoenix-mesa-scottsdale-az"
2014,"2014",53482,95,"United States","01000US","united-states"
2014,"2014",49928,244,"Arizona","04000US04","arizona"
2014,"2014",40042,1737,"Gila County, AZ","05000US04007","gila-county-az"
2014,"2014",37009,4079,"La Paz County, AZ","05000US04012","la-paz-county-az"
2014,"2014",53689,293,"Maricopa County, AZ","05000US04013","maricopa-county-az"
2014,"2014",46233,554,"Pima County, AZ","05000US04019","pima-county-az"
2014,"2014",50248,746,"Pinal County, AZ","05000US04021","pinal-county-az"
2014,"2014",44000,849,"Yavapai County, AZ","05000US04025","yavapai-county-az"
2014,"2014",41380,1127,"Yuma County, AZ","05000US04027","yuma-county-az"
2014,"2014",53310,280,"Phoenix-Mesa-Scottsdale, AZ","31000US38060","phoenix-mesa-scottsdale-az"
2013,"2013",53046,89,"United States","01000US","united-states"
2013,"2013",49774,253,"Arizona","04000US04","arizona"
2013,"2013",39954,2194,"Gila County, AZ","05000US04007","gila-county-az"
2013,"2013",35776,3004,"La Paz County, AZ","05000US04012","la-paz-county-az"
2013,"2013",53596,256,"Maricopa County, AZ","05000US04013","maricopa-county-az"
2013,"2013",45841,616,"Pima County, AZ","05000US04019","pima-county-az"
2013,"2013",50027,967,"Pinal County, AZ","05000US04021","pinal-county-az"
2013,"2013",42987,1240,"Yavapai County, AZ","05000US04025","yavapai-county-az"
2013,"2013",41595,1208,"Yuma County, AZ","05000US04027","yuma-county-az"
2013,"2013",53228,262,"Phoenix-Mesa-Scottsdale, AZ","31000US38060","phoenix-mesa-scottsdale-az"